"gender" "weight" "height" "duration" "calories" "fat" "water" "level" "bmi"
"1" "Male" 88.3 1.71 1.69 1313 12.6 3.5 "3" 30.2
"2" "Female" 74.9 1.53 1.3 883 33.9 2.1 "2" 32
"3" "Female" 68.1 1.66 1.11 677 33.4 2.3 "2" 24.71
"4" "Male" 53.2 1.7 0.59 532 28.8 2.1 "1" 18.41
"5" "Male" 46.1 1.79 0.64 556 29.2 2.8 "1" 14.39
"6" "Female" 58 1.68 1.59 1116 15.5 2.7 "3" 20.55
"7" "Male" 70.3 1.72 1.49 1385 21.3 2.3 "2" 23.76
"8" "Female" 69.7 1.51 1.27 895 30.6 1.9 "2" 30.57
"9" "Male" 121.7 1.94 1.03 719 28.9 2.6 "2" 32.34
"10" "Male" 101.8 1.84 1.08 808 29.7 2.7 "1" 30.07
"11" "Male" 120.8 1.67 0.82 593 20.5 3 "1" 43.31
"12" "Male" 51.7 1.7 1.15 865 23.6 3.5 "2" 17.89
"13" "Male" 112.5 1.61 1.24 1013 22.1 2.7 "2" 43.4
"14" "Male" 94.5 2 1.18 794 27.6 3.7 "1" 23.62
"15" "Male" 117.7 1.81 1.35 1195 26.4 3.3 "2" 35.93
"16" "Female" 42.5 1.75 1.13 740 26.2 2.1 "1" 13.88
"17" "Female" 64 1.53 1.33 1111 29.8 2.3 "2" 27.34
"18" "Female" 43.8 1.77 1.19 884 31.9 1.6 "1" 13.98
"19" "Female" 66.8 1.75 1.13 742 32.8 2.5 "2" 21.81
"20" "Female" 75.2 1.67 1.37 1030 25.2 2.2 "1" 26.96
"21" "Male" 89 1.77 1.5 1048 28.9 3.7 "2" 28.41
"22" "Male" 71.9 1.77 1.12 875 25.7 3.1 "1" 22.95
"23" "Female" 71 1.68 1.17 848 33.1 2.5 "1" 25.16
"24" "Male" 120.9 1.78 0.78 721 28.1 3.4 "1" 38.16
"25" "Female" 64.3 1.69 1.25 925 26.9 1.9 "2" 22.51
"26" "Female" 63.7 1.71 1.42 1080 26.1 1.8 "2" 21.78
"27" "Male" 65.2 1.8 0.73 502 27.2 2.7 "1" 20.12
"28" "Male" 53.9 1.75 1.48 989 21.6 2.8 "2" 17.6
"29" "Male" 84.9 1.86 1.64 1104 14.2 3.5 "3" 24.54
"30" "Female" 78 1.68 1.29 871 32.3 1.8 "2" 27.64
"31" "Male" 108.2 1.8 1.27 964 28.4 3.5 "1" 33.4
"32" "Female" 65.4 1.52 1.03 654 28 2.2 "2" 28.31
